answer,subject,choice_3,choice_2,choice_1,choice_0,question
0,miscellaneous,رہن کی شرح میں کمی,امریکی ڈالر کی قدر میں اضافہ,روزگار میں اضافہ ہوتا ہے۔,سرمایہ کاری کی سطح کم ہو رہی ہے۔,شرح سود میں اضافے کا سب سے زیادہ ممکنہ اثر کیا ہے؟
3,miscellaneous,فرینکلن روزویلٹ,بینجمن فرینکلن,تھامس جیفرسن,جارج واشنگٹن,آپ ڈائمز کے سامنے کس کا پروفائل دیکھ سکتے ہیں جو اس وقت گردش میں ہیں؟
1,miscellaneous,حکومت نے,صدر,اسٹاک ہولڈرز,سی ای او,'عوامی طور پر منعقد' کمپنی کا مالک کون سمجھا جاتا ہے؟
1,miscellaneous,جونیئر منٹس,ریز کے ٹکڑے,سکیٹلز,ایم اینڈ ایم کا,مندرجہ ذیل میں سے کون سی کینڈی روایتی طور پر پھلوں کا ذائقہ دار ہے؟
2,miscellaneous,نیو یارک شہر,شکاگو,فلاڈیلفیا,بوسٹن,1926 میں Harlem Globetrotters باسکٹ بال ٹیم کس شہر میں قائم ہوئی؟
3,miscellaneous,کتے کی پیمائش اور تمام اندرونی مواد تک رسائی,بیرونی سطح کے رنگ، شکل اور انداز کی شناخت,ڈھانچے کی تعمیر کے لیے تمام سامان کی خریداری,عمارت کے لیے ضروری تمام آلات کا حصول,کتے کے گھر کے ڈیزائن میں درج ذیل میں سے کون سا مرحلہ ابتدائی ہوگا؟
3,miscellaneous,احساس',سیاہ سفید',دھڑکن,لاٹھی اور پتھر',1999 کی آرٹ نمائش کا نام کیا تھا جس نے سنسر شپ کے بارے میں قومی بحث کو جنم دیا؟
3,miscellaneous,فیڈیلیو',لافانی محبوب',خاموشی',فاسٹ',بیتھوون کے واحد مکمل اوپیرا کا عنوان کیا تھا؟
0,miscellaneous,مورس,ال,سام,چارلی,StarKist ٹونا میسکوٹ کا نام کیا ہے؟
2,miscellaneous,اینگلو سیکسنز,روسی,Visigoths,فرینک,دسویں صدی عیسوی میں بازنطینی سلطنت کے مشنریوں کے ذریعہ درج ذیل میں سے کس گروہ کو عیسائیت میں تبدیل کیا گیا؟
3,miscellaneous,جلدی سے,تیز,تیز,جلدی,ان الفاظ میں سے کون سا فعل ہے؟
3,miscellaneous,بریک,ریڈی ایٹر,انجن,بیٹری,آپ کو کار کے کس حصے پر 'کیلیپر' ملے گا؟
1,miscellaneous,لنڈن,گلاب,تھیسل,ivy,ان میں سے کون سا پودا سکاٹ لینڈ کا قومی نشان ہے؟
2,miscellaneous,10 بلین ڈالر,$1 بلین,$100m,$10 ملین,ایک سال (2018 تک) تمام امریکی گاڑیوں کو ایئر کنڈیشن کرنے میں کتنا خرچ آتا ہے؟
3,miscellaneous,یوگی ریچھ,دھواں دار ریچھ,فوزی ریچھ,پیڈنگٹن ریچھ,کون سا خیالی کردار 'اوسط ریچھ سے زیادہ ہوشیار' ہونے کا دعویٰ کرتا ہے؟
3,miscellaneous,نیکٹو فوبیا,hadephobia,کرپٹوفوبیا,ہپنو فوبیا,اگر آپ واقعی اندھیرے سے ڈرتے ہیں تو آپ کو کیا تکلیف ہے؟
1,miscellaneous,کابینہ سیکرٹریز کو برطرف کیا جائے۔,ایجنسی کے سربراہوں کی تقرری,فنڈز مختص کرنا,محکمانہ تنخواہوں میں اضافہ یا کمی,مندرجہ ذیل میں سے کون سا طریقہ ہے جس میں کانگریس وفاقی بیوروکریسی پر اثر انداز ہو سکتی ہے؟
1,miscellaneous,تائیوان,شمالی کوریا,جاپان,چین,کس ملک پر کبھی شوگنوں کی حکومت تھی؟
1,miscellaneous,جنوبی امریکہ,یورپ,ایشیا,افریقہ,آپ کو کس براعظم میں جنگل میں شیر مل سکتے ہیں؟
1,miscellaneous,اس نے امریکہ کو ایک بین الاقوامی فوجی طاقت میں تبدیل کر دیا۔,اس نے جنوبی ریاستوں میں پودے لگانے کا نظام کمزور کر دیا۔,اس نے مارکیٹ کے انقلاب کی ترقی کی حوصلہ افزائی کی۔,اس نے تارکین وطن کی مزدوری کی ضرورت کو کم کیا۔,ایک نقل و حمل کے نیٹ ورک کی تعمیر جس میں سڑکیں، نہریں اور بھاپ کی کشتیاں شامل تھیں جنہوں نے انیسویں صدی کی ابتدائی دہائیوں میں ریاستہائے متحدہ میں شکل اختیار کی تھی، خانہ جنگی سے پہلے کے سالوں میں درج ذیل میں سے کون سے اثرات مرتب ہوئے؟
0,miscellaneous,جرمن خسرہ,سیاہ پھیپھڑوں,ٹینس کہنی,کالی کھانسی,'pertussis' بیماری کا زیادہ عام نام کیا ہے؟
3,miscellaneous,طالب علموں کو کلاس روم میں سیکھی ہوئی مہارتوں کو لاگو کرنے اور کسی مخصوص علاقے میں نئی ​​مہارتیں سیکھنے کی اجازت دیں۔,طلباء کو مقامی، ریاستی اور قومی FFA ڈگریوں کے لیے اہل ہونے کے لیے کافی رقم کمانے کا موقع دیں۔,طلباء کو رقم کے انتظام کی مہارتیں سیکھنے کے لیے استعمال ہونے والی آمدنی فراہم کریں۔,طلباء کو مہارت کے ایوارڈز کے لیے درخواست دینے اور جیتنے کی بنیاد فراہم کریں۔,زیر نگرانی زرعی تجربہ (SAE) پروگرام کا بنیادی مقصد یہ ہے۔
1,miscellaneous,ری ایکشن انجن,روٹری انجن,بیرونی دہن انجن,اندرونی دہن انجن,انیسویں صدی کے اوائل کا ریل روڈ اسٹیم انجن مندرجہ ذیل میں سے کس پاور سسٹم کی بہترین مثال ہے؟
0,miscellaneous,حکومت کو تعلیم یافتہ اقلیت کی مرضی کے مطابق جھکنا چاہیے۔,حکومت کو اقلیت کی خواہشات سے قطع نظر اکثریت کی مرضی کو نافذ کرنا چاہیے۔,حکومت کو اخلاقی زوال کو روکنے کے لیے مذہبی قانون نافذ کرنا چاہیے۔,حکومتی اتھارٹی سماجی معاہدے کے نتیجے میں بنتی ہے۔,تھامس ہوبس اور جان لاک دونوں مندرجہ ذیل میں سے کن بیانات سے غالباً متفق ہوں گے؟
1,miscellaneous,غالب کیسی,چمگادڑ لڑکا,ہوم ٹیم,امپائر,کلاسک گانے 'ٹیک می آؤٹ ٹو دی بالگیم' میں ہم کس کے لیے 'روٹ روٹ روٹ' کرتے ہیں؟
3,miscellaneous,ایک لکڑی کی ڈمی,بیس بال کا ایک مشہور گھڑا,شکاگو کا ایک گینگسٹر,ایک امریکی سینیٹر,چارلی میکارتھی کون تھا؟
0,miscellaneous,22,16,13,11,امریکہ کی کنفیڈریٹ ریاستوں میں کتنی ریاستیں تھیں؟
0,miscellaneous,ہجوم,بینک ڈاکو,بلیو گراس موسیقار,جنگی مظاہرین,شکاگو سیون کون تھے؟
2,miscellaneous,میک میک,سیرس,ایرس,پلوٹو,کون سا بونا سیارہ سورج کے سب سے قریب ہے؟
0,miscellaneous,کیلون کلائن,الزبتھ آرڈن,راف لارن,ایسٹی لاؤڈر,کون سی کمپنی 'خوبصورت' اور 'خوشی' نامی پرفیوم بناتی ہے؟
1,miscellaneous,انگریزی,ڈینش,جرمن,روسی,کارل مارکس کونسی قومیت تھی؟
3,miscellaneous,گوشت,گندم,کالی مرچ,مچھلی,امریکہ میں پیپرونی کا بنیادی جزو کیا ہے؟
3,miscellaneous,طالب علم کی مدد کے لیے سرکردہ سوالات کا استعمال کریں اور متعدد اسمبلی کے طریقہ کار کی متعلقہ خوبیوں کا تجزیہ کریں۔,فیصلہ کرنے کی ذمہ داری مکمل طور پر طالب علم پر ڈالیں۔,دو یا تین ممکنہ اسمبلی طریقہ کار تجویز کریں اور طالب علم سے ایک کا انتخاب کریں۔,مخصوص مسئلے کے لیے اسمبلی کے بہترین طریقہ کار کے بارے میں رائے دیں۔,مینوفیکچرنگ لیبارٹری میں من گھڑت مسئلے کو حل کرنے کے عمل میں ایک طالب علم استاد سے پوچھتا ہے کہ اسمبلی کے کون سے طریقہ کار کو استعمال کیا جانا چاہیے۔ استاد کا بہترین جواب ہوگا۔
0,miscellaneous,چمڑے کے ملبوسات کے لیے سپلائی کا وکر دائیں طرف منتقل ہو جائے گا۔,چمڑے کے ملبوسات کی مانگ کا وکر بائیں طرف منتقل ہو جائے گا۔,سرپلس ہوگا۔,کمی ہو گی۔,اگر حکومت چمڑے کے ملبوسات پر قیمت کی حد مقرر کرتی ہے جو متوازن قیمت سے کم ہے، تو چمڑے کے ملبوسات کی مارکیٹ میں مندرجہ ذیل میں سے کون سا واقع ہوگا؟
2,miscellaneous,قومی ریلوے مسافر نظام کے قیام کے لیے فنڈنگ,انٹر اسٹیٹ ہائی وے سسٹم کی تعمیر کے لیے فنڈنگ,کم آلودگی پھیلانے والی آٹوموبائل تیار کرنے کے لیے تحقیق کو سپانسر کرنا,شہری ماس ٹرانزٹ کے لیے فراخدلی سبسڈیز کا قیام,1950 کی دہائی میں صدر ڈوائٹ آئزن ہاور کی انتظامیہ کے دوران، وفاقی حکومت نے ریاستہائے متحدہ میں نقل و حمل میں اہم تبدیلیوں کو فروغ دیا۔
1,miscellaneous,ایکینوڈرمز,invertebrates,کورڈیٹس,Mollusks,مندرجہ ذیل گروہوں میں سے کون سے جانوروں کی ریڑھ کی ہڈی اور ریڑھ کی ہڈی ہو سکتی ہے؟
3,miscellaneous,میں آپ کے اپنے خیالات اور احساسات کے ساتھ ایک شخص کے طور پر آپ کا احترام کرتا ہوں۔,مجھے یقین ہے کہ آپ کلاس کے اصولوں کو سمجھ گئے ہیں۔,میں آپ کو سمجھتا ہوں، اور میں جانتا ہوں کہ آپ کے لیے کیا بہتر ہے۔,میں نے حقائق اکٹھے کیے ہیں، اور میں جانتا ہوں کہ واقعی کیا ہوا ہے۔,درج ذیل میں سے کون سا بیان دوسرے درجے کے استاد کی طرف سے فعال سننے کی بہترین عکاسی کرتا ہے جو کسی طالب علم کی ذاتی مسئلہ کو حل کرنے میں مدد کر رہا ہے؟
1,miscellaneous,ایڈیٹنگ,اشاعت,دماغی طوفان,خاکہ,درج ذیل میں سے کون سا مرحلہ تحریری چکر کا پہلا مرحلہ ہے؟
2,miscellaneous,ایم اے ڈی ڈی,ایس ای سی,این بی اے,اے اے اے,ان میں سے کون سا سرکاری ادارہ ہے جو سرمایہ کاروں کے تحفظ کے لیے قائم کیا گیا ہے؟
0,miscellaneous,فریزیئر,نارم,ڈیان,کوچ,ووڈی نے ٹی وی شو 'چیئرز' میں کس کردار کی جگہ لی؟
2,miscellaneous,سنگ مرمر,شسٹ,کوارٹزائٹ,گرینائٹ,مندرجہ ذیل میں سے کون سی چٹان شیل کے میٹامورفزم سے زیادہ امکان پیدا کرے گی؟
0,miscellaneous,پلازما,گیس,مائع,ٹھوس,مادے کی مندرجہ ذیل میں سے کون سی حالت ذرات کے قریب سے بھرے انتظام کی خصوصیت رکھتی ہے، جس کے نتیجے میں ایک مستحکم، قطعی شکل اور قطعی حجم ہوتا ہے؟
2,miscellaneous,کوئی نہیں جانتا,4.5 بلین سال,300 ملین سال,"50,000 سال",زمین کی عمر لگ بھگ کتنی ہے؟
2,miscellaneous,مقامی کمیونٹی کالج میں کیریئر میلے میں شرکت کرنا,موجودہ ملازم سے سفارش وصول کرنا,جاب پوسٹنگ ویب سائٹس پر جاب اوپننگ کا اشتہار دینا,سوشل میڈیا ویب سائٹ پر نوکری کی شروعات پوسٹ کرنا,عملے کی حکمت عملی کے حصے کے طور پر، انسانی وسائل کا مینیجر چھپی ہوئی مارکیٹ کے ذریعے نئے اہلکاروں کی خدمات حاصل کرتا ہے۔ مندرجہ ذیل میں سے کون سی چھپی ہوئی مارکیٹ کے استعمال کی بہترین نمائندگی کرتا ہے؟
0,miscellaneous,پریشان کرنا,ٹرپل سیکنڈ,schnapps,گرینیڈائن,پنک لیڈی کاک ٹیل کو گلابی بنانے کے لیے کون سا لیکور استعمال کیا جاتا ہے؟
2,miscellaneous,دوسری کشتیوں کو نقصان پہنچانا,جہاز کو جگہ پر رکھنا,پانی کی گہرائی کا حساب لگانا,بڑی مچھلی پکڑنے کے لیے,لنگر کا مناسب سمندری استعمال کیا ہے؟
2,miscellaneous,بٹ ختم,نقش و نگار,چارج کر رہا ہے,ہکنگ,آئس ہاکی میں درج ذیل میں سے کون سا جرمانہ نہیں ہے؟
3,miscellaneous,ایتھن کے ساتھی بننے اور اس کے ساتھ سینٹر ٹائم میں حصہ لینے کے لیے طالب علم کی شناخت کرنا,طلباء کو دن بھر اپنے جذبات کو نام دینے اور ان پر گفتگو کرنے کی ترغیب دینا,ماڈلنگ کرنا کہ کلاس روم میں مناسب پیار کیسے دکھایا جائے۔,مرکز کے وقت کے دوران تنازعہ ہونے پر ایتھن کے لیے ہمدردی کا مظاہرہ کرنا,ایتھن، ایک نیا پری اسکول کا طالب علم، مرکز کے وقت کے دوران دوسرے طلباء کے ساتھ بات یا کھیل نہیں کرتا ہے۔ مندرجہ ذیل میں سے کون سی حکمت عملی اسے باہمی تعلقات استوار کرنے میں بہترین مدد کرے گی؟
0,miscellaneous,کمپنی حکومت پر مقدمہ کر رہی ہے۔,ایک چھوٹا خریدنا,اسٹاک فروخت,دیوالیہ پن کا اعلان,اگر کوئی کاروبار باب 11 کے تحت فائل کرتا ہے تو وہ کیا کر رہا ہے؟
2,miscellaneous,ایک لاکھ,دس ہزار,پانچ ہزار,ایک ہزار,ایک ملین ڈالر کے برابر ہونے میں کتنے $100 بل لگتے ہیں؟
0,miscellaneous,اقدار کو ان کے عددی نمائندوں کے ساتھ ملانا,کاؤنٹرز کا استعمال کرتے ہوئے اشیاء کے سیٹ بنانا,پورے نمبروں کی پوزیشن کو پہچاننا,اشیاء کی صفات کی نشاندہی کرنا,پری کنڈرگارٹن کا استاد جیومیٹرک اشیاء کو شکل کی قسم کے لحاظ سے درجہ بندی کرنے کے تدریسی مقصد کے ساتھ ایک سبق کی منصوبہ بندی کر رہا ہے۔ استاد کے سبق سکھانے سے پہلے بچوں کو درج ذیل میں سے کون سا عمل کامیابی سے انجام دینے کے قابل ہونا چاہیے؟
1,miscellaneous,جو گاراگیولا,ڈیبورا نارویل,ولارڈ سکاٹ,جین پاؤلی,کس سابق 'آج' شو کی شخصیت نے ٹی وی سیٹ کام 'دی ہوگن فیملی' پر پڑوسی کا کردار ادا کیا؟
3,miscellaneous,کالعدم,یکطرفہ,عملدرآمد,قابل نفاذ,اگر کسی معاہدے کے ایک فریق کو دستخط کرنے پر مجبور کیا جاتا ہے، تو معاہدے کی تعریف اس طرح کی جاتی ہے۔
1,miscellaneous,الزبتھ دوم,میگیلن,وکٹوریہ,ٹرائٹن,دنیا کا چکر لگانے والے پہلے جہاز کا نام کیا تھا؟
1,miscellaneous,چینی رہنما مغربی خطوط پر اپنی معیشت کو دوبارہ بنانے کے لیے نکلے۔,چینی انقلابیوں نے چنگ خاندان کا تختہ الٹ دیا۔,چین کو اپنی کچھ بندرگاہیں بین الاقوامی تجارت کے لیے کھولنے پر مجبور کیا گیا۔,کینٹن (گوانگ زو) میں چینی کمشنر تجارت نے اس شہر میں افیون کی تجارت پر پابندی لگا دی۔,مندرجہ ذیل میں سے کون 1839-1842 کی پہلی افیون جنگ کا براہ راست نتیجہ تھا؟
1,miscellaneous,کتا,چکن,گائے,بھیڑ,بھارت میں کون سا جانور مقدس سمجھا جاتا ہے؟
0,miscellaneous,پرنٹ کرنے کے لئے مفت,مکمل ٹیکسٹ پروسیسر,کل وقتی پورٹل,فائل بھیجنے کا طریقہ کار,کمپیوٹر کی اصطلاح میں 'FTP' کا مخفف کیا ہے؟
0,miscellaneous,لتھوگرافی,decoupage,کندہ کاری,خطاطی,خوبصورت لکھاوٹ کے فن کو کیا کہتے ہیں؟
3,miscellaneous,تثلیث,Triumvirate,Troika,تینوں,مسیحی کس اجتماعی نام سے خدا باپ خدا بیٹا اور روح القدس کو کہتے ہیں؟
1,miscellaneous,1988,1984,1980,1976,امریکہ نے آخری بار مردوں کی آئس ہاکی میں اولمپک گولڈ میڈل کس سال جیتا تھا؟
0,miscellaneous,ہیموگلوبن,یکسانیت,بدعت,وراثت,کون سی اصطلاح جینیاتی خصلتوں کے ایک نسل سے دوسری نسل میں منتقل ہونے کی وضاحت کرتی ہے؟
1,miscellaneous,چاندی,ایلومینیم,سلکان,سوڈیم,جدید کمپیوٹر مائیکرو چپس بنیادی طور پر کس عنصر پر مشتمل ہیں؟
1,miscellaneous,فرینک میک کورٹ,ڈین کونٹز,سٹیفن بادشاہ,این پرولکس,فلم 'اسٹینڈ بائی می' کس مصنف کے ناول پر مبنی ہے؟
3,miscellaneous,ٹرانسم,کارویٹ,کیمارو,لیمبوروگھینی,فلم 'سموکی اینڈ دی بینڈیٹ' میں برٹ رینالڈز نے کس قسم کی کار چلائی؟
1,miscellaneous,طلباء تنظیم اور نحو کے نمونوں کا تجزیہ عام ڈھانچے کو پہچاننے کے لیے سیکھنے کے طریقے کے طور پر کرتے ہیں۔,طلباء تحریری زبان میں ڈوبے ہوئے ہیں، اور سیاق و سباق کے اشارے استعمال کرتے ہوئے پورے الفاظ کو ڈی کوڈ کرنے کی ترغیب دی جاتی ہے۔,طلباء کو پہلے انفرادی حرف کی آوازیں سکھائی جاتی ہیں، اس کے بعد حروف کے امتزاج کی آوازیں اور الفاظ بنانے کے لیے ان مجموعوں کو ایک ساتھ رکھنے کے اصول سکھائے جاتے ہیں۔,طلباء پڑھنے کی رفتار اور فہم کو بڑھانے کے لیے اعلی تعدد والے الفاظ کی فہرستوں کا مطالعہ کرتے ہیں۔,مندرجہ ذیل میں سے کون سا روایتی صوتیات کی ہدایات کی بہترین وضاحت ہے؟
3,miscellaneous,بیتھوون,باخ,ہینڈل,موزارٹ,'مون لائٹ سوناٹا' کس نے کمپوز کیا؟
2,miscellaneous,کلیولینڈ,پٹسبرگ,آسٹن,شکاگو,پہلا تجارتی ریڈیو اسٹیشن کس شہر میں واقع تھا؟
2,miscellaneous,مفت حفاظت,اسٹرائیکر,تنگ اختتام,کوارٹر بیک,ان میں سے کون امریکی فٹ بال ٹیم میں پوزیشن نہیں رکھتا؟
1,miscellaneous,چمپینزی,اورنگوٹان,مارموٹ,بابون,ان میں سے کون پرائمیٹ کی قسم نہیں ہے؟
0,miscellaneous,خلیج فارس,بحیرہ احمر,خلیج عمان,سدرہ کی خلیج,1986 میں لیبیا کے رہنما معمر قذافی نے پانی کی ایک نام نہاد 'لائن آف ڈیتھ' کھینچی؟
3,miscellaneous,اولڈ اسپارکی,پرانا دھواں دار,پرانا گیزر,پرانا ییلر,فلوریڈا کی متنازعہ موت کی قطار الیکٹرک چیئر کا عرفی نام کیا ہے؟
3,miscellaneous,ہسپانوی,امریکی آبائی,افریقی,آسٹریلوی,'فینڈنگو' کے نام سے جانا جانے والا رقص کس اصل سے ہے؟
0,miscellaneous,ہردی کا,برگر کنگ,میکڈونلڈز,ڈینی کی,آپ کس ریسٹورنٹ میں گرینڈ سلیم ناشتہ آرڈر کر سکتے ہیں؟
0,miscellaneous,کیلسائٹ,Apatite,کوارٹز,کورنڈم,ان میں سے کون سی معدنیات محس پیمانے پر سب سے سخت ہے؟
0,miscellaneous,شراب,ادرک ایل,کافی,چائے,مندرجہ ذیل میں سے کون سا مشروب پودے کے پتوں سے تیار کیا جاتا ہے؟
1,miscellaneous,سالمیت بمقابلہ مایوسی۔,پیداوری بمقابلہ جمود,شناخت بمقابلہ شناخت کی الجھن,صنعت بمقابلہ کمتری,ایرک ایرکسن کے مطابق، جوانی میں درپیش بنیادی مخمصہ ہے۔
2,miscellaneous,Beowulf',دی ڈیوائن کامیڈی',اوز کا جادوگر,جنت کھو دی','یہاں آنے والے ہر امید کو چھوڑ دو' کے اقتباس کا ماخذ کون سا ادبی کام ہے؟
1,miscellaneous,تندور میں کتے,ایک چراگاہ میں گائے,ایک کمبل میں سور,ایک تالاب میں بطخ,ناشتے کے کھانے کا مشہور نام کیا ہے جس میں پینکیکس میں لپٹے ہوئے ساسیج ہوتے ہیں؟
2,miscellaneous,ٹام اور جیری,سائمن اور گارفنکل,بیوس اور بٹ ہیڈ,چپ اور ڈیل,مندرجہ ذیل میں سے کون ٹی وی کارٹون جوڑی نہیں ہے؟
0,miscellaneous,کیپس لاک,اسکرول لاک,نمبر تالا,پرنٹ لاک,ان میں سے کون سا معیاری ڈیسک ٹاپ کمپیوٹر کی بورڈ پر 'لاک' فنکشن نہیں ہے؟
2,miscellaneous,پاولو ریورینی,اپولوس ریوائر,پال سلور,جان پال ریور,امریکی محب وطن پال ریور کا نام ان کے والد کے نام پر رکھا گیا تھا جس کا اصل نام کیا تھا؟
0,miscellaneous,ماسک',گونگا اور بیوقوف',ٹرومین شو',پیچ ایڈمز,ان میں سے کون سی فلم جم کیری نے اداکاری نہیں کی؟
1,miscellaneous,زیلڈا,لوسیانو,لوئیگی,لوئس,'سپر ماریو' ویڈیو گیمز میں ماریو کے بھائی کا کیا نام ہے؟
3,miscellaneous,پال انکا,کیرول کنگ,کرس کرسٹوفرسن,فرینک سناترا,فرینک سیناترا کے ترانے 'مائی وے' کے بول کس نے لکھے؟
1,miscellaneous,ڈاکٹر ایول جونیئر,سمال فرائی,منی می,لٹل بڈی,فلم Austin Powers: The Spy Who Shagged Me میں ڈاکٹر ایول کے گھٹیا کلون کا نام کیا ہے؟
3,miscellaneous,پگھلنا,منجمد,فتوسنتھیس,کشید,وہ کیمیائی عمل کیا ہے جس میں حرارت کے استعمال کے ذریعے ٹھوس مائع میں بدل جاتا ہے؟
0,miscellaneous,ٹیکساس,جارجیا,جنوبی کرولینا,کیلیفورنیا,1999 کی فلم میگنولیا کا سیٹ کس ریاست میں ہے؟
1,miscellaneous,35 سیکنڈ,30 سیکنڈ,24 سیکنڈ,18 سیکنڈ,این بی اے شاٹ کلاک پر کتنا وقت لگتا ہے؟
2,miscellaneous,اعلی درجے کی سادگی کے ساتھ سخت رنگوں کا جذباتی استعمال,جامد اعداد و شمار اور نظری سطح کی حرکت کا احساس,طاقتور لائنوں کے استعمال کے ذریعے تخلیق کردہ جاندار اعداد و شمار,وسیع برش اسٹروک اور ٹچائل سطح کی ساخت کا اظہاری استعمال,جارج سیورٹ کی پوائنٹ لسٹ پینٹنگز درج ذیل میں سے کون سی خصوصیات پر مشتمل ہونے کے لیے سب سے زیادہ قابل ذکر ہیں؟
0,miscellaneous,چھ,چار,تین,دو,بیکگیمون کتنے کھلاڑیوں کا کھیل ہے؟
1,miscellaneous,واقعی بڑا,ہوا,نیلا,پرسکون,بچوں کی نرسری شاعری کے مطابق کولمبس نے 1492 میں کس قسم کے سمندر میں سفر کیا تھا؟
2,miscellaneous,مولوٹوف کاک ٹیل,مکی فن,کامیکاز,زومبی,ان میں سے کون سا الکوحل ڈرنک سے مراد ہے جس میں ناک آؤٹ ڈرنک ہے؟
3,miscellaneous,میکڈونلڈ جھیل دیکھنے میں دلچسپی رکھنے والے خاندان,قومی پارکوں کے تاریخی تناظر کا مطالعہ کرنے والے ماہرین تعلیم,ورچوئل پارک فیلڈ ٹرپس بنانے میں دلچسپی رکھنے والے اساتذہ,گلیشیر کی ترقی پر تحقیق کرنے والے سائنسدان,طلباء نیشنل پارک سروس کی ویب سائٹ سے درج ذیل حوالہ پڑھ رہے ہیں۔ دس میل لمبی اور تقریباً 500 فٹ گہری (152.4 میٹر میٹر) جھیل میکڈونلڈ، پارک کی سب سے بڑی جھیل، برفانی نقاشی کا براہ راست نتیجہ ہے۔ جھیل کے آس پاس کی اونچی چوٹیاں سب سے سخت پتھر کو تراشنے کے لیے گلیشیئرز کی طاقت کا ثبوت دیتی ہیں۔ وہ طاقتور گلیشیئرز جنہوں نے وسیع U شکل والی وادی کو تراش دیا جس میں میکڈونلڈ جھیل بیٹھی ہے، نے بھی چھوٹی لٹکتی ہوئی وادیوں کو شاندار آبشاروں کے ساتھ نقش کیا ہے جن تک پیدل سفر کے متعدد راستوں سے رسائی ممکن ہے۔ مندرجہ ذیل میں سے کون سی اقتباس کے مطلوبہ سامعین کی بہترین شناخت کرتا ہے؟
2,miscellaneous,0.9,0.75,0.5,0.25,آپ 3/4 کو اعشاریہ کے طور پر کیسے ظاہر کرتے ہیں؟
0,miscellaneous,پرنس آف ویلز,انگریزی ناشتہ,گرے دارجیلنگ,ارل,کونسی چائے اپنے مخصوص برگاموٹ ذائقے کے لیے مشہور ہے؟
1,miscellaneous,سائنس فکشن کی خصوصیات کو دیگر ادبی اصناف سے متصادم کریں۔,وضاحت کریں کہ کچھ قارئین سائنس فکشن کو خطرناک کیوں سمجھتے ہیں۔,سائنس فکشن کے بارے میں کچھ قارئین کے جذبات کی گہرائی کی نشاندہی کریں۔,تجویز کریں کہ سائنس فکشن کوئی سنجیدہ ادبی صنف نہیں ہے۔,"سائنس فکشن: قارئین کا دعویٰ ہے کہ یا تو اسے پسند کرتے ہیں یا اس سے نفرت کرتے ہیں۔ یا تو وہ زہر کی طرح اس سے اجتناب کرتے ہیں یا پھر وہ پسندیدہ کاموں اور مصنفین کو کھا جاتے ہیں جیسے چاکلیٹ کے عادی افراد فج ٹرفلز کو گھس رہے ہیں۔ حوالہ کے مصنف نے کچھ قارئین کا موازنہ ""چاکلیٹ کے عادی افراد"" سے کیا ہے۔"
1,miscellaneous,تل چکن,کاربونیٹیڈ سوڈا,پوست کے بیجوں کے بیج,چاکلیٹ ٹرفلز,ان میں سے کون سی خوراک میں قدرتی طور پر موجود افیون کی تھوڑی مقدار ہوسکتی ہے؟
1,miscellaneous,110 m.p.h,96 ایم پی ایچ,74 ایم پی ایچ,50 ایم پی ایچ,Saffir-Simpson پیمانے کے مطابق سمندری طوفان میں ہوا کی سب سے کم رفتار کیا ہو سکتی ہے؟
0,miscellaneous,یارڈ برڈز,قیادت Zeppelin,فرم,بری صحبت,درج ذیل میں سے کس بینڈ میں جمی پیج نے گٹار نہیں بجایا؟
0,miscellaneous,سمتھسونین,نیشنل جیوگرافک,باہر,ٹائیگر بیٹ,ان میں سے کون سا رسالہ قدرتی سائنس پر توجہ نہیں دیتا؟
0,miscellaneous,جوشوا رینالڈز,ولیم ہوگرتھ,ولیم مورس,جان کانسٹیبل,مندرجہ ذیل میں سے کون سا فنکار انگلش لینڈ اسکیپ پینٹر ہے جس نے مقامی رنگوں کی چھوٹی ایپلی کیشنز کا استعمال کرکے ماحولیاتی اثرات کو تبدیل کرنے کا شاعرانہ احساس پیدا کیا؟
0,miscellaneous,ہارن بجانا,احتیاط سے آگے بڑھو,رفتار بڑھاو,روکو,ایک چمکتی ہوئی سرخ ٹریفک لائٹ اس بات کی نشاندہی کرتی ہے کہ ڈرائیور کو کیا کرنا چاہیے؟
0,miscellaneous,موزارٹ,Liszt,بیتھوون,شوبرٹ,کون سا موسیقار تقریباً 600 لائڈر لکھنے کے لیے مشہور تھا؟
2,miscellaneous,سورج کی روشنی,پانی,بجلی,آگ,چوتھے درجے کی سائنس کی کلاس میں طلباء ایسے عمل کے بارے میں سیکھ رہے ہیں جو زمین کی سطح کو تبدیل کرتے ہیں۔ مندرجہ ذیل میں سے کون ایک ایسے ایجنٹ کی بہترین مثال ہے جو آہستہ آہستہ چٹان، مٹی اور دیگر مادوں کے ٹکڑوں کو ان کے اصل مقامات سے دور لے کر اور انہیں دوسری جگہوں پر جمع کر کے زمین کی سطح کو تشکیل دیتا ہے؟
0,miscellaneous,ریاستہائے متحدہ,آسٹریلیا,سپین,فرانس,بورڈو شراب کس ملک سے آتی ہے؟
2,miscellaneous,ہندوستانی ہاتھی۔,نیلی وہیل,سپرم وہیل,افریقی ہاتھی,زمین پر سب سے بلند آواز والا جانور کون سا ہے؟
2,miscellaneous,پرندہ,کتا,کیٹ,ہیمسٹر,ان میں سے کون سے گھریلو پالتو جانوروں کو پاروووائرس کے لیے ٹیکہ لگایا جانا چاہیے؟
